request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete
CLOSED,2014-11-21,2014-12-16,Parkville,Parks and Trees,Tree Maintenance Services,25
CLOSED,2015-01-28,2015-01-29,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-01-28,2015-01-30,Port Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
CLOSED,2015-04-20,2015-05-05,Carlton,Graffiti,Graffiti Removal,15
CLOSED,2016-01-12,2016-01-14,Parkville,Parks and Trees,Tree Maintenance Services,2
CLOSED,2016-01-25,2016-01-27,Kensington,Parks and Trees,Tree Maintenance Services,2
CLOSED,2015-10-19,2015-11-05,Carlton,Graffiti,Graffiti Removal,17
CLOSED,2016-03-04,2016-03-09,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,5
CLOSED,2016-04-18,2016-05-26,Carlton,Graffiti,Graffiti Removal,38
CLOSED,2014-12-29,2014-12-30,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-01-06,2015-01-08,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
CLOSED,2015-01-08,2015-01-09,Carlton,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2015-01-16,2015-01-21,Carlton,Graffiti,Graffiti Removal,5
CLOSED,2014-11-19,2014-11-24,East Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,5
CLOSED,2015-01-20,2015-01-21,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-03-16,2015-03-18,West Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,2
CLOSED,2015-03-19,2015-04-20,Docklands,Parks and Trees,Condition of Assets in Parks,32
CLOSED,2015-03-21,2015-03-25,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,4
CLOSED,2015-09-21,2015-10-05,Kensington,Parks and Trees,Tree Maintenance Services,14
CLOSED,2015-05-26,2015-05-26,North Melbourne,"Waste, Street Cleaning and Litter",Syringe pick-up services,1
CLOSED,2015-08-11,2015-09-07,North Melbourne,Graffiti,Graffiti Removal,27
CLOSED,2015-08-03,2015-09-14,Docklands,Graffiti,Graffiti Removal,42
CLOSED,2015-09-30,2015-10-16,North Melbourne,Graffiti,Graffiti Removal,16
CLOSED,2015-11-21,2015-11-25,Parkville,Parks and Trees,Lawns and Irrigation,4
CLOSED,2015-08-13,2015-09-10,Parkville,Graffiti,Graffiti Removal,28
CLOSED,2015-04-24,2015-06-30,Carlton,Parks and Trees,Park Cleaning,67
CLOSED,2016-06-10,2016-06-15,Melbourne,Graffiti,Graffiti Removal,5
CLOSED,2016-03-01,2016-03-03,Carlton,Graffiti,Graffiti Removal,2
CLOSED,2016-04-22,2016-05-10,Kensington,Graffiti,Graffiti Removal,18
CLOSED,2016-04-26,2016-05-08,Docklands,"Waste, Street Cleaning and Litter",Organic Waste,12
CLOSED,2016-04-28,2016-05-02,Carlton,Parks and Trees,Sport and Playground Facilities,4
CLOSED,2015-06-03,2015-06-05,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2
